code,trades,winrate,pnl,return_pct,profit_factor,max_dd,final,bh_return,excess,rank,score
600010,57,33.3,26007.0,26.0,2.13,-3912.0,126007.0,-16.356877323420072,42.35687732342007,124,35.05775092936803
651,46,47.8,20054.0,20.1,2.15,-5833.0,120054.0,-20.55958549222798,40.65958549222798,164,34.73883419689119
601919,48,33.3,19937.0,19.9,1.86,-7912.0,119937.0,-27.445795875198307,47.34579587519831,166,34.61831835007933
601669,53,34.0,26802.0,26.8,2.32,-4708.0,126802.0,-10.820895522388064,37.62089552238807,118,34.248358208955224
601788,49,40.8,28873.0,28.9,2.27,-5885.0,128873.0,-4.901336728198613,33.80133672819861,105,33.59553469127945
166,39,48.7,24125.0,24.1,3.41,-2050.0,124125.0,4.109589041095885,19.99041095890412,142,33.031164383561645
601166,45,37.8,24998.0,25.0,2.7,-3871.0,124998.0,-4.972067039106132,29.972067039106133,133,32.918826815642454
601618,49,34.7,14147.0,14.1,1.75,-4434.0,114147.0,-32.266666666666666,46.36666666666667,213,32.711666666666666
2142,43,44.2,22071.0,22.1,2.3,-5365.0,122071.0,-9.12091209120912,31.22091209120912,153,31.678364836483652
601916,45,31.1,14019.0,14.0,2.22,-5119.0,114019.0,-25.274725274725277,39.27472527472527,214,31.60989010989011
983,61,44.3,15572.0,15.6,1.7,-5853.0,115572.0,-25.120192307692303,40.7201923076923,201,31.48807692307692
100,43,37.2,15071.0,15.1,1.79,-4436.0,115071.0,-26.432291666666664,41.532291666666666,206,31.407916666666665
688396,54,33.3,22628.0,22.6,2.04,-8168.0,122628.0,-13.097713097713104,35.697713097713105,148,31.309085239085242
600016,49,30.6,17126.0,17.1,2.35,-3013.0,117126.0,-18.204488778054863,35.30448877805486,187,31.176795511221947
2736,48,39.6,24431.0,24.4,2.27,-4678.0,124431.0,-4.520295202952029,28.920295202952023,139,30.62311808118081
157,47,38.3,20222.0,20.2,1.87,-5013.0,120222.0,-14.336917562724006,34.53691756272401,163,30.099767025089598
963,46,47.8,16622.0,16.6,1.76,-5996.0,116622.0,-18.142195587033505,34.74219558703351,189,29.916878234813403
601766,45,33.3,20285.0,20.3,2.06,-5635.0,120285.0,-11.551155115511536,31.85115511551154,162,29.400462046204616
601808,54,35.2,23004.0,23.0,1.85,-5147.0,123004.0,-9.090909090909092,32.09090909090909,145,29.28136363636364
600028,48,43.8,28084.0,28.1,3.22,-3061.0,128084.0,17.500000000000004,10.599999999999998,110,28.73
333,40,52.5,26551.0,26.6,3.12,-3417.0,126551.0,17.978208232445514,8.621791767554488,120,28.058716707021794
601601,43,34.9,31392.0,31.4,2.18,-6916.0,131392.0,10.22304832713754,21.176951672862455,92,28.050780669144984
600426,49,30.6,13163.0,13.2,1.58,-6107.0,113163.0,-23.68098159509203,36.88098159509203,220,27.562392638036812
601818,53,39.6,15139.0,15.1,2.26,-3926.0,115139.0,-10.510510510510516,25.610510510510515,207,27.394204204204208
600061,50,34.0,17175.0,17.2,1.8,-7754.0,117175.0,-13.89252948885976,31.09252948885976,186,27.377011795543908
2001,39,48.7,26556.0,26.6,2.22,-5351.0,126556.0,10.660272962006644,15.939727037993356,119,26.555890815197344
601186,55,25.5,15261.0,15.3,1.67,-8670.0,115261.0,-18.181818181818187,33.481818181818184,205,26.517727272727274
601628,41,48.8,38814.0,38.8,2.72,-7059.0,138814.0,36.75274142200211,2.047258577997887,62,25.698903431199152
601607,46,37.0,13530.0,13.5,1.7,-7745.0,113530.0,-15.469323544834811,28.96932354483481,219,25.637729417933922
601229,43,46.5,26194.0,26.2,3.25,-3578.0,126194.0,23.54570637119113,2.654293628808865,122,25.576717451523542
600050,52,40.4,18530.0,18.5,2.08,-4547.0,118530.0,-2.3980815347721784,20.898081534772174,178,25.45923261390887
